중소벤처기업연구원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,," 1: 공공누리 1유형, 2: 공공누리 2유형, 3:공공누리 3유형, 4:공공누리4유형",,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일/출판일/발행년도,연구책임자/작성자/발행기관,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고,비고
78,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제78호(2016.8.16),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
79,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제79호(2016.8.22),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
80,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제80호(2016.8.29),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
81,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제81호(2016.9.20),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
82,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제82호(2016.10.12),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
83,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제83호(2016.10.21),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
84,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제84호(2016.11.10),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
85,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제85호(2016.11.23),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
86,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제86호(2016.12.21),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
87,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제87호(2016.12.30),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
