[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판명,게시물 제목,pdf페이지,발행년,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
124,국회전자도서관,소장자료,국회기록사진첩_vol2_023.jpg,72,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
125,국회전자도서관,소장자료,국회기록사진첩_vol2_024.jpg,73,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
126,국회전자도서관,소장자료,국회기록사진첩_vol2_025.jpg,73,1953.5-1957.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
127,국회전자도서관,소장자료,국회기록사진첩_vol2_026.jpg,74,1953.5-1957.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
128,국회전자도서관,소장자료,국회기록사진첩_vol2_027.jpg,75,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
129,국회전자도서관,소장자료,국회기록사진첩_vol2_028.jpg,75,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
130,국회전자도서관,소장자료,국회기록사진첩_vol2_029.jpg,76,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
131,국회전자도서관,소장자료,국회기록사진첩_vol2_030.jpg,76,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
132,국회전자도서관,소장자료,국회기록사진첩_vol2_031.jpg,77,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
133,국회전자도서관,소장자료,국회기록사진첩_vol2_032.jpg,77,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
134,국회전자도서관,소장자료,국회기록사진첩_vol2_033.jpg,78,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
135,국회전자도서관,소장자료,국회기록사진첩_vol2_034.jpg,79,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
136,국회전자도서관,소장자료,국회기록사진첩_vol2_035.jpg,79,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
137,국회전자도서관,소장자료,국회기록사진첩_vol2_036.jpg,79,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
138,국회전자도서관,소장자료,국회기록사진첩_vol2_037.jpg,80,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
