국립무형유산원 공공저작물 권리확인 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
74,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2015 무형유산 사회교육 교수역량 강화 과정 교육안내,,2015-02-24 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
75,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2015 국립무형유산원 공모사업 <2015 이수자뎐(傳)> 예비공모,,2015-02-25 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
76,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2016 무형문화재 전수교육관 활성화사업 공모 계획,,2015-02-27 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
77,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2015년 국립무형유산원 무형문화재 전승자 교육프로그램 설명회 안내,,2015-02-27 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
78,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2015년 무형문화재 기획공연 전문 역량 강화(예능개인)Ⅰ교육안내,,2015-03-03 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
79,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2015 무형문화재 기획공연 전문역량 강화 (예능단체) 교육안내,,2015-03-03 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
80,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2015 무형문화재 공연기획 전문인력 양성 과정 I 교육안내,,2015-03-06 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
81,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,무형문화재 공연기획 전문인력 양성 과정 교육참석자 선정공고,,2015-03-18 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
82,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2015년 전통공예 아카데미 교육 안내,,2015-03-31 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
83,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,[공연] 2015 국립무형유산원 「이수자 대상 기획공연」 공모 안내,,2015-04-03 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
