[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판진입과정,게시판명,게시물 제목,URL,등록일,기사 수량,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
89,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1988년 11·12월),,1988년 11·12월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
90,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1988년 9·10월),,1988년 9·10월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
91,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1988년 7·8월),,1988년 7·8월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
92,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1988년 5·6월),,1988년 5·6월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
93,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1988년 3·4월),,1988년 3·4월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
94,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1988년 1·2월),,1988년 1·2월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
95,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1987년 11·12월),,1987년 11·12월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
96,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1987년 9·10월),,1987년 9·10월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
97,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1987년 7·8월),,1987년 7·8월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
98,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1987년 5·6월),,1987년 5·6월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
99,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1987년 3·4월),,1987년 3·4월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
100,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1987년 1·2월),,1987년 1·2월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
101,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1986년 11·12월),,1986년 11·12월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
102,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1986년 9·10월),,1986년 9·10월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
103,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1986년 7·8월),,1986년 7·8월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
104,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1986년 5·6월),,1986년 5·6월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
105,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1986년 3·4월),,1986년 3·4월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
106,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1986년 1·2월),,1986년 1·2월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
