Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 21,Unnamed: 22
,한국교육개발원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일/출판일,연구책임자/작성자,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,71,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020 No.8] Study on capacity-building strategies for...,,2021-01-04 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,72,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020 No.9] Evaluation of educational welfare policie...,,2021-01-04 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,73,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020 No.13] Tasks for the Future of Korean Education...,,2021-01-04 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,74,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2021년 1호] 교육 분야 양극화 추이 분석 연구,,2021-02-23 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,75,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2021년 2호] 증거기반 교육정책 모니터링을 위한 국가교...,,2021-03-04 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,76,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2021년 3호] 교육복지 지원 기준 개발 및 활용 방안,,2021-03-18 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,77,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2021년 4호] 혁신적 포용성장을 위한 지역평생학습체제 ...,,2021-04-01 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,78,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2021년 5호] 한계대학 현황과 정책적 대응 방안,,2021-04-12 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,79,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2021년 6호] 통합운영학교를 중심으로 한 탄력적 교육체...,,2021-04-29 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,80,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2021년 7호] TALIS 2018 결과로 본 한국 중학교 교사의 ...,,2021-05-18 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,81,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2021년 8호] 국가 수준의 교원종단연구 수행을 위한 설계...,,2021-05-28 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
