국립극장 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
148,별별스테이지,포스터,밤으로의 긴 여로,劇團 新協 (극단 신협),1971-10-07,0,1,0,미부착,개방불가,없음,
149,별별스테이지,포스터,환상여행,국립극단,1972-02-01,0,1,0,미부착,개방불가,없음,
150,별별스테이지,포스터,오줌싸게의 향연 <까베락>곡 외 3편,국립발레단,1972-06-16,0,1,0,미부착,개방불가,없음,
151,별별스테이지,포스터,국립발레단 광주 특별공연 (광주시민회관),국립발레단,1972-07-19,0,1,0,미부착,개방불가,없음,
152,별별스테이지,포스터,꽃상여,국립극단,1972-08-30,0,1,0,미부착,개방불가,없음,
153,별별스테이지,포스터,흥보가,국립창극단,1972-09-22,0,1,0,미부착,개방불가,없음,
154,별별스테이지,포스터,새마을 음악회 - 국립교향악단 (전북 실내체육관),국립교향악단,1972-11-19,0,1,0,미부착,개방불가,없음,
155,별별스테이지,포스터,송학정,국립극단,1972-12-26,0,1,0,미부착,개방불가,없음,
156,별별스테이지,포스터,송년연주회,국립교향악단,1972-12-29,0,1,0,미부착,개방불가,없음,
157,별별스테이지,포스터,정기연주회,국립교향악단,1973-02-09,0,1,0,미부착,개방불가,없음,
158,별별스테이지,포스터,배비장전,국립창극단,1973-02-15,0,1,0,미부착,개방불가,없음,
159,별별스테이지,포스터,실내악연주회,국립교향악단,1973-02-20,0,1,0,미부착,개방불가,없음,
160,별별스테이지,포스터,인종자의 손,국립극장 연기인양성소,1973-02-25,0,1,0,미부착,개방불가,없음,
161,별별스테이지,포스터,성웅 이순신,국립극단,1973-10-17,0,1,0,미부착,개방불가,없음,
162,별별스테이지,포스터,대연주회,국립교향악단,1973-10-23,0,1,0,미부착,개방불가,없음,
163,별별스테이지,포스터,아이다,국립오페라단,1973-11-06,0,1,0,미부착,개방불가,없음,
164,별별스테이지,포스터,정기연주회,국립교향악단,1973-11-19,0,1,0,미부착,개방불가,없음,
165,별별스테이지,포스터,별의 전설,국립무용단,1973-11-21,0,1,0,미부착,개방불가,없음,
166,별별스테이지,포스터,송년대음악회 : 베르디의 진혼곡,국립교향악단,1973-12-28,0,1,0,미부착,개방불가,없음,
167,별별스테이지,포스터,정기연주회,국립교향악단,1974-02-19,0,1,0,미부착,개방불가,없음,
168,별별스테이지,포스터,활화산,국립극단,1974-02-26,0,1,0,미부착,개방불가,없음,
169,별별스테이지,포스터,"아악,판소리,민요,무용,민족예술의 향연","국립국악원, 국립창극단 외",1974-03-01,0,1,0,미부착,개방불가,없음,
170,별별스테이지,포스터,한국 작곡가의 밤,국립교향악단,1974-03-26,0,1,0,미부착,개방불가,없음,
171,별별스테이지,포스터,활화산,국립극단,1974-04-02,0,1,0,미부착,개방불가,없음,
172,별별스테이지,포스터,지귀의 꿈,국립발레단,1974-04-03,0,1,0,미부착,개방불가,없음,
173,별별스테이지,포스터,정기연주회,국립교향악단,1974-04-16,0,1,0,미부착,개방불가,없음,
174,별별스테이지,포스터,성웅 이순신,국립극단,1974-04-27,0,1,0,미부착,개방불가,없음,
175,별별스테이지,포스터,방랑하는 화란인,국립오페라단,1974-05-01,0,1,0,미부착,개방불가,없음,
176,별별스테이지,포스터,청소년을 위한 교향악의 밤,국립교향악단,1974-05-10,0,1,0,미부착,개방불가,없음,
177,별별스테이지,포스터,정기연주회,국립교향악단,1974-05-30,0,1,0,미부착,개방불가,없음,
178,별별스테이지,포스터,한국무용제전_B형,국립무용단,1974-06-12,0,1,0,미부착,개방불가,없음,
179,별별스테이지,포스터,한국무용제전_A형,국립무용단,1974-06-12,0,1,0,미부착,개방불가,없음,
180,별별스테이지,포스터,정기연주회,국립교향악단,1974-06-20,0,1,0,미부착,개방불가,없음,
181,별별스테이지,포스터,남한산성,국립극단,1974-06-25,0,1,0,미부착,개방불가,없음,
182,별별스테이지,포스터,대춘향전(大春香傳),국립가무단,1974-06-28,0,1,0,미부착,개방불가,없음,
183,별별스테이지,포스터,판소리 흥보가 연창,국립창극단,1974-07-05,0,1,0,미부착,개방불가,없음,
184,별별스테이지,포스터,실내악연주회,국립교향악단,1974-07-11,0,1,0,미부착,개방불가,없음,
185,별별스테이지,포스터,한국합창곡 발표회,국립합창단,1974-07-18,0,1,0,미부착,개방불가,없음,
186,별별스테이지,포스터,국악의 밤,國立國樂院(국립국악원),1974-08-14,0,1,0,미부착,개방불가,없음,
187,별별스테이지,포스터,국립교향악단 하계특별연주회,국립교향악단,1974-09-07,0,1,0,미부착,개방불가,없음,
188,별별스테이지,포스터,오텔로,국립오페라단,1974-09-17,0,1,0,미부착,개방불가,없음,
